product_bought,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
Y,M,Grad,756460,NA,N,B,NA,NA,Professional,Low,NA,Midwest,1,L
N,F,Bach,213171,Over 65,N,E,NA,NA,Professional,Low,Owner,Northeast,3,G
N,M,College,111147,Under 25,Y,C,NA,Y,Professional,Low,Owner,Midwest,1,J
Y,M,College,354151,Under 25,Y,B,Single,NA,Sales/Service,Low,NA,West,2,L
Y,F,College,117087,NA,Y,J,Married,Y,Sales/Service,Low,NA,South,7,H
Y,F,Bach,248694,Under 65,Y,B,Married,N,Professional,Med,Owner,West,1,G
Y,M,Bach,2000000,NA,Y,A,Married,NA,Professional,Low,NA,Northeast,5,C
N,F,Bach,416925,Under 55,Y,C,Married,Y,Professional,Low,Owner,South,2,I
N,F,HS,207676,Under 45,Y,G,NA,Y,Blue Collar,Low,Renter,West,5,D
Y,M,HS,241380,NA,Y,C,Married,NA,Sales/Service,Low,NA,Northeast,6,G
N,M,College,158268,Over 65,Y,C,NA,Y,Sales/Service,Med,Owner,Midwest,3,E
Y,F,Bach,245686,Under 45,N,F,Married,NA,Blue Collar,Low,Owner,South,3,E
Y,F,College,360587,Under 55,Y,C,Married,Y,Professional,High,Owner,Midwest,1,J
N,M,Less than HS,0,Under 25,Y,I,NA,N,Others,Low,NA,West,6,C
Y,F,Bach,380431,Under 65,Y,B,NA,NA,Professional,Low,Owner,South,2,A
Y,M,Less than HS,162884,NA,Y,G,Married,Y,Professional,Low,Renter,South,7,C
N,F,HS,0,Over 65,N,I,Married,N,Retired,Low,Owner,South,5,E
Y,F,College,239560,Under 55,Y,C,Married,Y,Sales/Service,Med,Owner,Midwest,3,F
N,M,Less than HS,60822,NA,N,G,Single,Y,Blue Collar,Low,Renter,Midwest,9,C
N,M,HS,90426,Under 45,Y,I,NA,N,Blue Collar,Low,Owner,South,6,E
Y,F,Grad,408750,Under 35,Y,F,NA,Y,Sales/Service,High,Owner,West,3,F
Y,M,Bach,0,Under 45,N,G,Married,NA,Professional,Low,Renter,West,8,F
N,F,College,136729,Under 45,Y,C,Married,Y,Blue Collar,Low,Owner,Midwest,4,G
N,NA,Less than HS,452622,Under 35,N,F,Single,NA,Professional,Low,Renter,South,1,D
N,M,Less than HS,128402,NA,N,G,Single,NA,Sales/Service,Low,Renter,Northeast,8,A
Y,M,Bach,308817,Under 35,Y,C,Married,Y,Sales/Service,Low,Renter,South,2,F
Y,M,Grad,206271,Under 35,Y,C,Married,Y,Professional,Med,Owner,West,4,F
N,M,HS,0,NA,N,F,Married,NA,Blue Collar,Low,NA,Northeast,5,D
Y,M,College,169113,Under 65,Y,B,Married,N,Professional,Low,Owner,Midwest,3,F
N,F,College,189878,Under 25,Y,E,NA,Y,Sales/Service,Med,Owner,South,4,E
Y,F,College,94503,Under 55,Y,F,NA,Y,Blue Collar,Low,Owner,Midwest,3,D
Y,M,HS,1076582,Under 55,Y,B,Married,Y,Professional,High,Owner,West,1,F
Y,M,College,325081,Under 55,Y,C,Married,Y,Sales/Service,Low,Owner,Midwest,2,J
Y,F,Grad,0,Under 35,Y,B,NA,NA,Professional,Low,NA,Northeast,2,E
Y,M,College,1151448,Under 35,N,B,Single,N,Professional,Med,Owner,South,1,F
N,M,Grad,0,Under 55,Y,G,Single,Y,Professional,Low,Owner,Northeast,5,D
N,M,Less than HS,308705,NA,N,C,NA,Y,Sales/Service,Low,NA,West,1,H
Y,F,Bach,1500000,Over 65,Y,B,Married,N,Retired,High,Owner,South,1,L
